,url,rooms,adress,price,city_region,floor,area,kitchen_studio,apartment_condition,is_apartment_has_furniture(full or no),is_previously_dormitory,security,furniture_detailed,facilities,bathroom,zhiloi_complex,house_year,parking,is_separated_toilet,toilet_count,window_side,balcony_count,loggia_count,people_that_match,description
10,https://krisha.kz/a/show/1001011756?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=8,1,Сейфуллина 51,250000,"Алматы, Турксибский р-н",2,51 м²,No Information,"свежий ремонт, новая мебель",полностью,нет,"решетки на окнах, домофон, видеонаблюдение","обеденный стол, шкаф для одежды, кухонный гарнитур, диван","телевизор, стиральная машина, холодильник, микроволновая печь, пылесос, посуда, сушилка, лифт",ванна,Теремки,No Information,No Information,совмещен,1,во двор,1,нет,семейной паре,"Сдам квартиру, с новым мебелем и со всеми удобствами семейной паре, после 17 мая 2025 года"
11,https://krisha.kz/a/show/693255881?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=9,1,Розыбакиева — Розыбакиева уг ул Курмангазы,220000,"Алматы, Алмалинский р-н",3 из 5,"31 м², Площадь кухни — 7 м²",No Information,"свежий ремонт, новая мебель",полностью,нет,"домофон, видеонаблюдение","кровать, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, кондиционер, пылесос, посуда, сушилка",душевая кабина,No Information,No Information,No Information,совмещен,1,No Information,1,No Information,"семейной паре, некурящим, одному человеку","сдается 1 комнатная квартира на долгий срок в очень удобном расположении (Розыбакиева уг ул Курмангазы). 
Квартира в очень хорошем состоянии. Все в квартире свежее, новый кухонный гарнитур, мойка, есть плита для готовки, паласы, ковер, холодильник, сушилка, гладильная доска, утюг, чайник электрический и т.д 
все что нужно есть для проживания. Двор в доме чистый и тихий, во дворе есть шлагбаум и видеонаблюдение. Посуточно никогда не сдавалась. 
Рядом находятся школы, садики, в шаговой доступности метро, аптека, плавательный бассейн, удобно добираться также на автобусах в любое направление 
сдаем порядочным и аккуратным людям. Семейной паре, одному человеку, людям без вредных привычек. Риэлторов просьба не беспокоить. 
Сумма 220 тыс тенге и депозит 50 тыс тенге.

Дом ориентировочно находится возле Розыбакиева уг ул Курмангазы"
12,https://krisha.kz/a/show/692474851?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=10,1,Казакова 9а/1 — Возле ТРЦ &quot;Максима&quot;,130000,"Алматы, Жетысуский р-н",3 из 5,25 м²,да,No Information,полностью,да,"видеонаблюдение, видеодомофон","обеденный стол, шкаф для одежды, кухонный гарнитур, диван","стиральная машина, холодильник",душевая кабина,No Information,No Information,No Information,совмещен,1,во двор,нет,нет,"семейной паре, одному человеку, можно с детьми","ОБЩЕЖИТИЕ 5-и этажное благоустроенное, находится в районе ТРЦ ""Максима"" комната студия: чистая, уютная, теплая. Жители порядочные, чистоплотные, спокойные, все занятые люди. Развитая инфроструктура. Все необходимое в шаговой доступности: 2-школы, 1-государственный и 6-частных дет-садов, супермаркет ""Магнум"". Базары: ""Саудакент"", ""Шаған"", ""Оптовка"", ""Барахолка"" ""Сауран"", ""Строй сити"" 
 До центра 10 минут. Просмотр с 10-до 22-х часов, бесплатно. Оплата ежемесячно, плюс коммунальные услуги. Без посредников. Я хозяйн, не риэлтор. По прибытию можете нажать на домофон или позвонить по номерам указанных на калитке.

Дом ориентировочно находится возле Возле ТРЦ ""Максима"""
13,https://krisha.kz/a/show/1000734643?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=11,2,Гагарина 310,400000,"Алматы, Бостандыкский р-н",5 из 20,46 м²,да,"свежий ремонт, новая мебель",No Information,нет,"охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон","кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, кондиционер, пылесос, посуда, сушилка, лифт",ванна,Комфорт Сити,No Information,No Information,совмещен,1,"во двор, на улицу",No Information,No Information,"семейной паре, некурящим, одному человеку",No Information
14,https://krisha.kz/a/show/1000554856?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=12,2,Сейфуллина 416 — Макатаева,400000,"Алматы, Бостандыкский р-н",5 из 12,75 м²,No Information,"свежий ремонт, новая мебель",полностью,нет,No Information,No Information,No Information,No Information,Meridian Apartments,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
15,https://krisha.kz/a/show/671784914?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=13,1,мкр Калкаман-2,150000,"Алматы, Наурызбайский р-н",2 из 3,24 м²,No Information,No Information,No Information,нет,No Information,No Information,No Information,No Information,No Information,2021,No Information,No Information,No Information,No Information,No Information,No Information,No Information,"1 комнатную хорошую теплую квартиру, 2 человека без детей в 3х этажном новом доме как в жк, коммуналки нет, депозита нет, интернет бесплатно, от ташкентской 50 м.

Дом ориентировочно находится возле Калкаман 2 ул Абишева 28"
16,https://krisha.kz/a/show/1000660300?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=14,2,мкр Жулдыз-1 25а,200000,"Алматы, Турксибский р-н",2 из 5,"60 м², Площадь кухни — 10 м²",No Information,"не новый, но аккуратный и чистый ремонт",полностью,нет,"домофон, кодовый замок","обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, посуда",ванна,No Information,No Information,No Information,разделен,1,во двор,No Information,1,"семейной паре, некурящим, можно с детьми",Сдам на длительный срок!
17,https://krisha.kz/a/show/697967314?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=15,1,мкр Аксай-1А 31 — На против карсити,200000,"Алматы, Ауэзовский р-н",9 из 9,"42 м², Площадь кухни — 10 м²",No Information,"свежий ремонт, новая мебель",полностью,нет,домофон,"обеденный стол, шкаф для одежды, кухонный гарнитур, диван","стиральная машина, холодильник, лифт",ванна,No Information,No Information,No Information,совмещен,1,на улицу,No Information,1,"можно с животными, можно с детьми",No Information
18,https://krisha.kz/a/show/1000712200?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=16,4,мкр Керемет 6 — Тимирязева - Наурызбай Батыра,850000,"Алматы, Бостандыкский р-н",7 из 10,135 м²,No Information,"не новый, но аккуратный и чистый ремонт",полностью,нет,"охрана, домофон, кодовый замок, сигнализация, видеонаблюдение","кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, сушилка, кладовая, лифт","душевая кабина, ванна",Керемет,No Information,No Information,совмещен,3,"во двор, на улицу",нет,1,No Information,"Чистая, аккуратная квартира. 
Дорогой ремонт, авторский дизайн. 
Кондиционеры во всех комнатах 
Шторы, ковры - все новое 
Дом расположен окнами спален в зеленый, цветущий парк летом Уютный, чистый и спокойный двор 
Рядом вся инфраструктура - большой торговый развлекательный центр 
Алматы форум, банки, магазины, маршруты во все точки города 
Спокойный двор, много зелени, внутри микрорайона есть магазины, супермаркеты, аптеки, спортивные залы, бассейн 
Микрорайон Керемет - это маленький город в большом городе

Дом ориентировочно находится возле Тимирязева - Наурызбай Батыра"
19,https://krisha.kz/a/show/1000867476?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=17,3,Ходжанова — Аль-Фараби- Еділ Ерғожин,550000,"Алматы, Бостандыкский р-н",2,120 м²,No Information,"не новый, но аккуратный и чистый ремонт",полностью,нет,"решетки на окнах, охрана, домофон, кодовый замок, видеонаблюдение, консьерж","кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, сушилка, лифт","душевая кабина, ванна",Талисман,No Information,No Information,разделен,2,"во двор, на улицу",1,No Information,"семейной паре, некурящим, можно с детьми","Очень уютная, чистая, светлая и удобная квартира. Рядом в доступности Есентай, Мега, Магнум. Для детей 2 безопасных детских площадок, детские сады, развивающие центры. Очень добрая и приятная хозяйка, обращайтесь.

Дом ориентировочно находится возле Аль-Фараби- Еділ Ерғожин"
20,https://krisha.kz/a/show/692233947?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=18,1,Розыбакиева — Байкадамова,330000,"Алматы, Бостандыкский р-н",10 из 12,50 м²,No Information,"свежий ремонт, новая мебель",полностью,нет,"домофон, кодовый замок, видеодомофон","обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, кондиционер, пылесос, лифт",No Information,Atameken,No Information,No Information,совмещен,1,во двор,1,No Information,"семейной паре, некурящим, одному человеку","ЖК «Atameken” бизнес класс. Недалеко от ТРЦ “MЕГА центр”, Almaty Management University (AlmaU) Pазвитая инфраструктура. Всё что необходимое в шаговой доступности. Квартира в идеальном состоянии, закрытый двор.

Дом ориентировочно находится возле Байкадамова"
21,https://krisha.kz/a/show/686347457?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=19,2,Жуалы,180000,"Алматы, Наурызбайский р-н",13 из 16,98 м²,No Information,"не новый, но аккуратный и чистый ремонт",частично,нет,No Information,"кровать, обеденный стол, шкаф для одежды, диван","телевизор, стиральная машина, холодильник",ванна,Премьера,No Information,No Information,совмещен,No Information,во двор,No Information,No Information,"семейной паре, можно с детьми","Развитая инфраструктура, всё что необходимое в шаговой доступности."
22,https://krisha.kz/a/show/1000923364?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=20,3,Сейфуллина 574/1 к3 — Аль-Фараби,1080000,"Алматы, Бостандыкский р-н",13,125 м²,No Information,"свежий ремонт, новая мебель",полностью,нет,"охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон","кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда, сушилка, лифт",ванна,Central Avenue,No Information,No Information,совмещен,2,во двор,No Information,1,"семейной паре, одному человеку, можно с детьми",No Information
